Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
210	Iron bcc (old)	18.12	4.8032	5	92.45	273.57	7.9504	2.7397	175.51	3.75	6.73	255.28	11.23	7.67	True	edge
211	Iron bcc (old)	23.68	5.4909	4	536.13	272.10	8.62	2.4645	171.38	1.57	6.72	214.50	35.73	47.65	True	edge
212	Iron bcc (old)	5.84	2.7269	3	447.90	269.72	3.1238	1.3123	167.32	0.31	0.96	237.45	40.43	18.54	True	no
213	Iron bcc (old)	2	1.5958	4	44.38	266.94	1.9902	1.5555	147.86	0.39	1.11	89.47	47.49	45.27	True	no
214	Iron bcc (old)	2.56	1.8054	3	54.50	266.50	2.688	2.2168	7.9727	0.39	0.71	78.55	39.62	42.11	True	no
215	Iron bcc (old)	11.52	3.8298	3	485.52	272.57	4.5597	1.4174	16.276	0.44	1.64	43.75	30.17	26.16	True	edge
216	Iron bcc (old)	7.16	3.0193	3	25.47	274.88	4.1206	1.8625	168.34	3.95	5.60	80.26	47.65	46.05	True	edge
217	Iron bcc (old)	15.56	4.451	6	51.05	273.94	8.9065	4.004	176.57	3.21	8.26	64.27	45.72	48.53	True	edge
218	Iron bcc (old)	14.52	4.2997	4	223.42	274.10	7.322	2.8999	178.55	1.09	2.37	316.96	35.60	49.71	True	edge
219	Iron bcc (old)	9.8	3.5324	3	506.02	273.82	4.7385	1.7995	177.14	0.49	1.39	232.09	47.83	27.41	True	edge
220	Iron bcc (old)	2.4	1.7481	1	466.97	273.67	2.1645	1.5331	20.184	0.51	1.25	220.26	47.55	36.28	True	no
221	Iron bcc (old)	9.6	3.4962	3	324.19	275.91	7.295	4.3538	2.116	0.31	0.84	229.97	44.91	38.72	True	edge
222	Iron bcc (old)	5.08	2.5432	3	250.42	276.20	4.2264	2.7616	1.5652	0.67	1.80	135.75	39.76	55.79	True	edge
